English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Asaro'o                                                                          | mtv            |                |               
Ashe                                                                             | ahs            |                |               
Ashkun                                                                           | ask            |                |               
Asho Chin                                                                        | csh            |                |               
Ashtiani                                                                         | atn            |                |               
AshГЎninka                                                                        | cni            |                |               
AshГ©ninka Pajonal                                                                | cjo            |                |               
AshГ©ninka PerenГ©                                                                 | prq            |                |               
Asilulu                                                                          | asl            |                |               
Askopan                                                                          | eiv            |                |               
Asoa                                                                             | asv            |                |               
Assamese                                                                         | asm            | asm            | as            
Assangori                                                                        | sjg            |                |               
Assiniboine                                                                      | asb            |                |               
Assyrian Neo-Aramaic                                                             | aii            |                |               
Asturian                                                                         | ast            | ast            |               
Asu (Nigeria)                                                                    | aum            |                |               
Asu (Tanzania)                                                                   | asa            |                |               
Asue Awyu                                                                        | psa            |                |               
Asumboa                                                                          | aua            |                |               
AsunciГіn Mixtepec Zapotec                                                        | zoo            |                |               
Asuri                                                                            | asr            |                |               
Ata Manobo                                                                       | atd            |                |               
Ata                                                                              | atm            |                |               
AtatlГЎhuca Mixtec                                                                | mib            |                |               
Atauran                                                                          | adb            |                |               
Atayal                                                                           | tay            |                |               
Atemble                                                                          | ate            |                |               
Athapascan languages                                                             | ath            | ath            |               
Athpariya                                                                        | aph            |                |               
Ati                                                                              | atk            |                |               
Atikamekw                                                                        | atj            |                |               
Atlantic-Congo languages                                                         | alv            |                |               
Atohwaim                                                                         | aqm            |                |               
Atong (Cameroon)                                                                 | ato            |                |               
Atong (India)                                                                    | aot            |                |               
Atorada                                                                          | aox            |                |               
Atsam                                                                            | cch            |                |               
Atsugewi                                                                         | atw            |                |               
Attapady Kurumba                                                                 | pkr            |                |               
AttiГ©                                                                            | ati            |                |               
Atzingo Matlatzinca                                                              | ocu            |                |               
Au                                                                               | avt            |                |               
Aulua                                                                            | aul            |                |               
Aushi                                                                            | auh            |                |               
Auslan                                                                           | asf            |                |               
Austral                                                                          | aut            |                |               
Australian Aborigines Sign Language                                              | asw            |                |               
Australian languages                                                             | aus            | aus            |               
Austrian Sign Language                                                           | asq            |                |               
Austro-Asiatic languages                                                         | aav            |                |               
Austronesian languages                                                           | map            | map            |               
Auwe                                                                             | smf            |                |               
Auye                                                                             | auu            |                |               
Avaric                                                                           | ava            | ava            | av            
Avatime                                                                          | avn            |                |               
Avau                                                                             | avb            |                |               
Avestan                                                                          | ave            | ave            | ae            
Avikam                                                                           | avi            |                |               
Avokaya                                                                          | avu            |                |               
AvГЎ-Canoeiro                                                                     | avv            |                |               
Awa (China)                                                                      | vwa            |                |               
Awa (Papua New Guinea)                                                           | awb            |                |               
Awa-Cuaiquer                                                                     | kwi            |                |               
Awad Bing                                                                        | bcu            |                |               
Awadhi                                                                           | awa            | awa            |               
Awak                                                                             | awo            |                |               
Awar                                                                             | aya            |                |               
Awara                                                                            | awx            |                |               
Awbono                                                                           | awh            |                |               
Aweer                                                                            | bob            |                |               
Awera                                                                            | awr            |                |               
AwetГ­                                                                            | awe            |                |               
Awing                                                                            | azo            |                |               
Awiyaana                                                                         | auy            |                |               
Awjilah                                                                          | auj            |                |               
Awngi                                                                            | awn            |                |               
Awtuw                                                                            | kmn            |                |               
Awu                                                                              | yiu            |                |               
Awun                                                                             | aww            |                |               
Awutu                                                                            | afu            |                |               
Awyi                                                                             | auw            |                |               
Axamb                                                                            | ahb            |                |               
Axi Yi                                                                           | yix            |                |               
Ayacucho Quechua                                                                 | quy            |                |               
Ayautla Mazatec                                                                  | vmy            |                |               
Ayere                                                                            | aye            |                |               
Ayi (Papua New Guinea)                                                           | ayq            |                |               
Ayiwo                                                                            | nfl            |                |               
Ayizi                                                                            | yyz            |                |               
Ayizo Gbe                                                                        | ayb            |                |               
Aymara                                                                           | aym            | aym            | ay            
Ayoquesco Zapotec                                                                | zaf            |                |               
Ayoreo                                                                           | ayo            |                |               
Ayu                                                                              | ayu            |                |               
Ayutla Mixtec                                                                    | miy            |                |               
Azerbaijani                                                                      | aze            | aze            | az            
Azha                                                                             | aza            |                |               
Azhe                                                                             | yiz            |                |               
AzoyГє Me'phaa                                                                    | tpc            |                |               
Baan                                                                             | bvj            |                |               
Baangi                                                                           | bqx            |                |               
Baatonum                                                                         | bba            |                |               
Baba Malay                                                                       | mbf            |                |               
Baba                                                                             | bbw            |                |               
Babango                                                                          | bbm            |                |               
Babanki                                                                          | bbk            |                |               
Babatana                                                                         | baa            |                |               
Babine                                                                           | bcr            |                |               
Babuza                                                                           | bzg            |                |               
Bacama                                                                           | bcy            |                |               
Bacanese Malay                                                                   | btj            |                |               
Bada (Indonesia)                                                                 | bhz            |                |               
Bada (Nigeria)                                                                   | bau            |                |               
Badaga                                                                           | bfq            |                |               
Bade                                                                             | bde            |                |               
Badeshi                                                                          | bdz            |                |               
Badimaya                                                                         | bia            |                |               
Badui                                                                            | bac            |                |               
Badyara                                                                          | pbp            |                |               
Baeggu                                                                           | bvd            |                |               
Baelelea                                                                         | bvc            |                |               
Baetora                                                                          | btr            |                |               
Bafanji                                                                          | bfj            |                |               
Bafaw-Balong                                                                     | bwt            |                |               
Bafia                                                                            | ksf            |                |               
Bafut                                                                            | bfd            |                |               
Baga Koga                                                                        | bgo            |                |               
Baga Manduri                                                                     | bmd            |                |               
Baga Pokur                                                                       | bcg            |                |               
Baga Sitemu                                                                      | bsp            |                |               
Bagheli                                                                          | bfy            |                |               
Bagirmi Fulfulde                                                                 | fui            |                |               
Bagirmi                                                                          | bmi            |                |               
Bago-Kusuntu                                                                     | bqg            |                |               
Bagri                                                                            | bgq            |                |               
Bagupi                                                                           | bpi            |                |               
Bagusa                                                                           | bqb            |                |               
Bagvalal                                                                         | kva            |                |               
Baha Buyang                                                                      | yha            |                |               
Baham                                                                            | bdw            |                |               
Bahamas Creole English                                                           | bah            |                |               
Baharna Arabic                                                                   | abv            |                |               
Bahau                                                                            | bhv            |                |               
Bahinemo                                                                         | bjh            |                |               
Bahing                                                                           | bhj            |                |               
Bahnar                                                                           | bdq            |                |               
Bahonsuai                                                                        | bsu            |                |               
Bai (South Sudan)                                                                | bdj            |                |               
Baibai                                                                           | bbf            |                |               
Baikeno                                                                          | bkx            |                |               
Baima                                                                            | bqh            |                |               
Baimak                                                                           | bmx            |                |               
Bainouk-Gunyaamolo                                                               | bcz            |                |               
Bainouk-GunyuГ±o                                                                  | bab            |                |               
Bainouk-Samik                                                                    | bcb            |                |               
Baiso                                                                            | bsw            |                |               
Baissa Fali                                                                      | fah            |                |               
Bajan                                                                            | bjs            |                |               
Bajelani                                                                         | bjm            |                |               
Baka (Cameroon)                                                                  | bkc            |                |               
Baka (South Sudan)                                                               | bdh            |                |               
BakairГ­                                                                          | bkq            |                |               
Bakaka                                                                           | bqz            |                |               
Bakhtiari                                                                        | bqi            |                |               
Baki                                                                             | bki            |                |               
Bakoko                                                                           | bkh            |                |               
Bakole                                                                           | kme            |                |               
Bakpinka                                                                         | bbs            |                |               
Bakumpai                                                                         | bkr            |                |               
BakwГ©                                                                            | bjw            |                |               
Balaesang                                                                        | bls            |                |               
Balaibalan                                                                       | zba            |                |               
Balangao                                                                         | blw            |                |               
Balangingi                                                                       | sse            |                |               
Balanta-Ganja                                                                    | bjt            |                |               
Balanta-Kentohe                                                                  | ble            |                |               
Balantak                                                                         | blz            |                |               
Baldemu                                                                          | bdn            |                |               
Bali (Democratic Republic of Congo)                                              | bcp            |                |               
Bali (Nigeria)                                                                   | bcn            |                |               
Balinese Malay                                                                   | mhp            |                |               
Balinese                                                                         | ban            | ban            |               
Balkan Gagauz Turkish                                                            | bgx            |                |               
Balkan Romani                                                                    | rmn            |                |               
Balo                                                                             | bqo            |                |               
Baloi                                                                            | biz            |                |               
Balti                                                                            | bft            |                |               
Baltic Romani                                                                    | rml            |                |               
Baltic languages                                                                 | bat            | bat            |               
Baluan-Pam                                                                       | blq            |                |               
Baluchi                                                                          | bal            | bal            |               
Bamako Sign Language                                                             | bog            |                |               
Bamali                                                                           | bbq            |                |               
Bambalang                                                                        | bmo            |                |               
Bambam                                                                           | ptu            |                |               
Bambara                                                                          | bam            | bam            | bm            
Bambassi                                                                         | myf            |                |               
Bambili-Bambui                                                                   | baw            |                |               
Bamenyam                                                                         | bce            |                |               
Bamileke languages                                                               | bai            | bai            |               
Bamu                                                                             | bcf            |                |               
Bamukumbit                                                                       | bqt            |                |               
Bamun                                                                            | bax            |                |               
Bamunka                                                                          | bvm            |                |               
Bamwe                                                                            | bmg            |                |               
Ban Khor Sign Language                                                           | bfk            |                |               
Bana                                                                             | bcw            |                |               
Banao Itneg                                                                      | bjx            |                |               
Banaro                                                                           | byz            |                |               
Banda (Indonesia)                                                                | bnd            |                |               
Banda Malay                                                                      | bpq            |                |               
Banda languages                                                                  | bad            | bad            |               
Banda-Bambari                                                                    | liy            |                |               
Banda-Banda                                                                      | bpd            |                |               
Banda-MbrГЁs                                                                      | bqk            |                |               
Banda-NdГ©lГ©                                                                      | bfl            |                |               
Banda-Yangere                                                                    | yaj            |                |               
Bandi                                                                            | bza            |                |               
Bandial                                                                          | bqj            |                |               
Bandjalang                                                                       | bdy            |                |               
Bangala                                                                          | bxg            |                |               
Bangandu                                                                         | bgf            |                |               
Bangba                                                                           | bbe            |                |               
Banggai                                                                          | bgz            |                |               
Bangi                                                                            | bni            |                |               
Bangime                                                                          | dba            |                |               
Bangka                                                                           | mfb            |                |               
Bangolan                                                                         | bgj            |                |               
Bangubangu                                                                       | bnx            |                |               
Bangwinji                                                                        | bsj            |                |               
Baniwa                                                                           | bwi            |                |               
Banjar                                                                           | bjn            |                |               
Bankagooma                                                                       | bxw            |                |               
Bankal                                                                           | jjr            |                |               
Bankan Tey Dogon                                                                 | dbw            |                |               
Bankon                                                                           | abb            |                |               
Bannoni                                                                          | bcm            |                |               
Bantawa                                                                          | bap            |                |               
Bantayanon                                                                       | bfx            |                |               
Bantik                                                                           | bnq            |                |               
Bantoanon                                                                        | bno            |                |               
Bantu languages                                                                  | bnt            | bnt            |               
Banyjima                                                                         | pnw            |                |               
BaoulГ©                                                                           | bci            |                |               
Bara Malagasy                                                                    | bhr            |                |               
Baraamu                                                                          | brd            |                |               
Barai                                                                            | bbb            |                |               
Barakai                                                                          | baj            |                |               
Baram Kayan                                                                      | kys            |                |               
Barama                                                                           | bbg            |                |               
Barambu                                                                          | brm            |                |               
Baramu                                                                           | bmz            |                |               
Barapasi                                                                         | brp            |                |               
Baras                                                                            | brs            |                |               
Barasana-Eduria                                                                  | bsn            |                |               
Barclayville Grebo                                                               | gry            |                |               
Bardi                                                                            | bcj            |                |               
Barein                                                                           | bva            |                |               
Bargam                                                                           | mlp            |                |               
Bari                                                                             | bfa            |                |               
Bariai                                                                           | bch            |                |               
Bariji                                                                           | bjc            |                |               
Barikanchi                                                                       | bxo            |                |               
Barikewa                                                                         | jbk            |                |               
Barok                                                                            | bjk            |                |               
Barombi                                                                          | bbi            |                |               
Barro Negro Tunebo                                                               | tbn            |                |               
Baruga                                                                           | bjz            |                |               
Baruya                                                                           | byr            |                |               
Barwe                                                                            | bwg            |                |               
Barzani Jewish Neo-Aramaic                                                       | bjf            |                |               
BarГ­                                                                             | mot            |                |               
Basa (Cameroon)                                                                  | bas            | bas            |               
Basa (Nigeria)                                                                   | bzw            |                |               
Basa-Gurmana                                                                     | buj            |                |               
Basap                                                                            | bdb            |                |               
Bashkardi                                                                        | bsg            |                |               
Bashkir                                                                          | bak            | bak            | ba            
Basketo                                                                          | bst            |                |               
Basque (family)                                                                  | euq            |                |               
Basque                                                                           | baq            | baq            | eu            
Bassa                                                                            | bsq            |                |               
Bassa-Kontagora                                                                  | bsr            |                |               
Bassari                                                                          | bsc            |                |               
Bassossi                                                                         | bsi            |                |               
Bata                                                                             | bta            |                |               
Batad Ifugao                                                                     | ifb            |                |               
Batak Alas-Kluet                                                                 | btz            |                |               
Batak Angkola                                                                    | akb            |                |               
Batak Dairi                                                                      | btd            |                |               
Batak Karo                                                                       | btx            |                |               
Batak Mandailing                                                                 | btm            |                |               
Batak Simalungun                                                                 | bts            |                |               
Batak Toba                                                                       | bbc            |                |               
Batak languages                                                                  | btk            | btk            |               
Batak                                                                            | bya            |                |               
Batanga                                                                          | bnm            |                |               
Batek                                                                            | btq            |                |               
Bateri                                                                           | btv            |                |               
Bathari                                                                          | bhm            |                |               
Bati (Cameroon)                                                                  | btc            |                |               
Bati (Indonesia)                                                                 | bvt            |                |               
Batjala                                                                          | xby            |                |               
Bats                                                                             | bbl            |                |               
Batu                                                                             | btu            |                |               
Batui                                                                            | zbt            |                |               
Batuley                                                                          | bay            |                |               
Bau Bidayuh                                                                      | sne            |                |               
Bau                                                                              | bbd            |                |               
Bauchi                                                                           | bsf            |                |               
Bauni                                                                            | bpe            |                |               
Baure                                                                            | brg            |                |               
Bauria                                                                           | bge            |                |               
Bauwaki                                                                          | bwk            |                |               
Bauzi                                                                            | bvz            |                |               
Bavarian                                                                         | bar            |                |               
Bawm Chin                                                                        | bgr            |                |               
Baybayanon                                                                       | bvy            |                |               
Bayono                                                                           | byl            |                |               
Bayot                                                                            | bda            |                |               
Bayungu                                                                          | bxj            |                |               
Bazigar                                                                          | bfr            |                |               
Beami                                                                            | beo            |                |               
Beaver                                                                           | bea            |                |               
Beba                                                                             | bfp            |                |               
Bebele                                                                           | beb            |                |               
Bebeli                                                                           | bek            |                |               
Bebil                                                                            | bxp            |                |               
Bedjond                                                                          | bjv            |                |               
Bedoanas                                                                         | bed            |                |               
Beeke                                                                            | bkf            |                |               
Beele                                                                            | bxq            |                |               
Beembe                                                                           | beq            |                |               
Beezen                                                                           | bnz            |                |               
Befang                                                                           | bby            |                |               
Beginci                                                                          | ebc            |                |               
Beja                                                                             | bej            | bej            |               
Bekati'                                                                          | bei            |                |               
Bekwarra                                                                         | bkv            |                |               
Bekwel                                                                           | bkw            |                |               
